facilityType,area,venue,name,select
504,*HK,200,鴨脷洲體育館,
504,*HK,204,香港公園體育館,
504,*HK,206,士美非路體育館,
504,*HK,207,石塘咀體育館,
504,*HK,208,上環體育館,
504,*HK,209,中山紀念公園體育館,
504,*HK,212,柴灣體育館,Y
504,*HK,213,渣華道體育館,Y
504,*HK,214,鰂魚涌體育館,
504,*HK,217,港島東體育館,Y
504,*HK,219,西灣河體育館,
504,*HK,273,黃竹坑體育館,
504,*HK,274,香港仔體育館,
504,*HK,278,漁光道體育館,
504,*HK,300,港灣道體育館,Y
504,*HK,302,駱克道體育館,
504,*HK,303,伊利沙伯體育館,
504,*HK,304,黃泥涌體育館,
504,*HK,70000522,赤柱體育館,
504,*HK,70000727,小西灣體育館,
504,*KLN,224,紅磡市政大廈體育館,
504,*KLN,228,九龍城體育館,
504,*KLN,233,土瓜灣體育館,
504,*KLN,239,界限街體育館,
504,*KLN,241,花園街體育館,
504,*KLN,244,彩虹道羽毛球中心,Y
504,*KLN,245,彩虹道體育館,Y
504,*KLN,246,竹園體育館,Y
504,*KLN,248,東啟德體育館,Y
504,*KLN,254,摩士公園體育館,
504,*KLN,256,牛池灣體育館,Y
504,*KLN,257,蒲崗村道體育館,Y
504,*KLN,259,長沙灣體育館,
504,*KLN,261,荔枝角公園體育館,
504,*KLN,263,北河街體育館,
504,*KLN,264,保安道體育館,
504,*KLN,266,石硤尾公園體育館,
504,*KLN,279,振華道體育館,Y
504,*KLN,281,曉光街體育館,Y
504,*KLN,284,九龍灣體育館,Y
504,*KLN,287,藍田南體育館,Y
504,*KLN,288,牛頭角道體育館,Y
504,*KLN,291,鯉魚門體育館,Y
504,*KLN,292,順利邨體育館,Y
504,*KLN,293,瑞和街體育館,Y
504,*KLN,305,官涌體育館,
504,*KLN,307,九龍公園體育館,
504,*KLN,70000521,大角咀體育館,
504,*KLN,70002133,彩榮路體育館,Y
22,*NTE,19,大埔體育館,
22,*NTE,49,天平體育館,
22,*NTE,53,龍琛路體育館,
22,*NTE,54,和興體育館,
22,*NTE,55,富善體育館,
22,*NTE,56,太和體育館,Y
22,*NTE,57,富亨體育館,Y
22,*NTE,60,寶林體育館,
22,*NTE,61,翠林體育館,Y
22,*NTE,67,恆安體育館,Y
22,*NTE,69,顯徑體育館,Y
22,*NTE,91,美林體育館,
22,*NTE,92,源禾路體育館,
22,*NTE,94,將軍澳體育館,Y
22,*NTE,50000512,大埔墟體育館,
22,*NTE,60000514,馬鞍山體育館,
22,*NTE,70000734,坑口體育館,Y
22,*NTE,70000830,保榮路體育館,
22,*NTE,70001033,香港單車館,Y
22,*NTE,70001333,調景嶺體育館,Y
22,*NTE,70001533,圓洲角體育館,
22,*NTE,70001933,車公廟體育館,
22,*NTW,23,林士德體育館,Y
22,*NTW,25,賽馬會屯門蝴蝶灣體育館,Y
22,*NTW,26,友愛體育館,Y
22,*NTW,35,北葵涌鄧肇堅體育館,Y
22,*NTW,36,長發體育館,Y
22,*NTW,37,楓樹窩體育館,Y
22,*NTW,38,大窩口體育館,Y
22,*NTW,40,青衣體育館,Y
22,*NTW,42,蕙荃體育館,Y
22,*NTW,43,荃景圍體育館,Y
22,*NTW,66,荔景體育館,Y
22,*NTW,72,大興體育館,Y
22,*NTW,73,良田體育館,Y
22,*NTW,76,鳳琴街體育館,Y
22,*NTW,77,朗屏體育館,Y
22,*NTW,82,海傍街體育館,
22,*NTW,83,坪洲體育館,
22,*NTW,84,長洲體育館,
22,*NTW,85,梅窩體育館,
22,*NTW,87,天水圍體育館,Y
22,*NTW,95,楊屋道體育館,Y
22,*NTW,96,荃灣西約體育館,Y
22,*NTW,70000525,天瑞體育館,Y
22,*NTW,70000623,東涌文東路體育館,Y
22,*NTW,70000831,屏山天水圍體育館,Y
22,*NTW,70000931,天暉路體育館,Y
22,*NTW,70001534,元朗體育館,Y
22,*NTW,70001535,青衣西南體育館,Y
22,*NTW,70001733,荃灣體育館,
22,*NTW,70001833,兆麟體育館,Y